Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$2.17,0.06,2.844%,208084188.00,Canada,,621987,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.95,-0.24,-5.728%,400810971.00,Canada,,914881,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.05,-0.01,-0.943%,47834479.00,Israel,,266825,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$25.4312,0.0512,0.202%,,United States,,849,,
PRK,Park National Corporation Common Stock,$131.07,-0.31,-0.236%,2125819480.00,United States,,33176,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$0.496,0.0359,7.803%,114920855.00,United States,,2690148,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$39.45,0.06,0.152%,131069982.00,United States,,60971,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$25.70,-0.2101,-0.811%,,United States,,740,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.64,-0.0112,-1.72%,29648052.00,United States,2015,590341,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.2965,0.1365,6.319%,13668667.00,United States,,4544,Finance,Investment Managers
RCOR,Renovacor Inc. Common Stock,$4.07,-0.17,-4.009%,70232091.00,,2020,3459,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$3.95,0.13,3.403%,395760620.00,United States,,2356610,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.50,2.42,9.649%,536660713.00,United States,,73993,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.45,-0.08,-2.266%,6247633.00,,2017,33619,Consumer Services,Real Estate Investment Trusts
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.00,-0.65,-13.978%,,,,12880,,
RLGT,Radiant Logistics Inc. Common Stock,$6.19,-0.18,-2.826%,306054058.00,United States,,128716,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$0.405,0.0049,1.225%,12740712.00,,2018,1156040,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$4.60,-0.15,-3.158%,155315702.00,United States,,192640,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.18,-0.11,-0.435%,0.00,United States,2019,5222,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.23,0.11,2.148%,184940070.00,United States,2017,237831,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$25.65,0.0499,0.195%,,United States,,4789,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$2.74,-0.10,-3.521%,99718834.00,,2021,503908,Consumer Non-Durables,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.30,-0.06,-0.237%,0.00,United States,2019,1110,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.39,0.00,0.00%,0.00,United States,2020,1964,Consumer Services,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$24.75,-0.05,-0.202%,0.00,United States,,14736,Consumer Services,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$24.6388,-0.0612,-0.248%,0.00,United States,2022,3528,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.06,0.00,0.00%,29929101.00,,2014,376902,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$4266.65,61.16,1.454%,4952637720.00,United States,1996,1004,,
SENS,Senseonics Holdings Inc. Common Stock,$1.94,-0.03,-1.523%,898503005.00,United States,,3978835,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SIF,SIFCO Industries Inc. Common Stock,$4.76,-0.1984,-4.001%,28575618.00,United States,,7983,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$9.26,0.35,3.928%,1350744755.00,,2018,544255,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$29.75,0.45,1.536%,4587258916.00,Mexico,1993,5548,Basic Industries,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$14.72,-0.20,-1.34%,219881192.00,,,239620,Capital Goods,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$8.36,-0.44,-5.00%,1351962873.00,,2021,3307995,,
SMTS,Sierra Metals Inc. Common Stock,$1.23,0.05,4.237%,200982000.00,,,375970,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.6389,0.1179,22.63%,72940158.00,United States,,14349273,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.43,-0.03,-2.055%,9944436.00,United States,,19230,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$3.71,-0.02,-0.536%,276908115.00,United States,,305292,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.72,0.10,2.762%,658833572.00,,,1060961,,
SVT,Servotronics Inc. Common Stock,$14.21,-0.4438,-3.029%,35406588.00,United States,,33341,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.2877,0.0024,0.841%,45582567.00,United States,,821284,Health Care,Biotechnology: Pharmaceutical Preparations
TELL,Tellurian Inc. Common Stock,$6.34,1.04,19.623%,3287248143.00,United States,,74927980,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$25.45,0.7001,2.829%,0.00,United States,,34379,,
TGB,Taseko Mines Ltd. Common Stock,$2.36,0.07,3.057%,674913081.00,Canada,,1944600,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.02,0.0391,3.986%,198806348.00,Canada,,151379,,
TKAT,Takung Art Co. Ltd. Common Stock,$3.64,1.39,61.778%,50804765.00,,,34295633,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$0.377,-0.008,-2.078%,24051156.00,United States,2015,327793,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$79.03,0.76,0.971%,1159386380.00,United States,,44340,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.09,0.04,3.81%,158556072.00,Canada,,1059565,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.86,-0.04,-2.105%,68263369.00,,,19087,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$7.21,0.005,0.069%,28473588.00,United States,,33627,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.3004,-0.0091,-2.94%,82308117.00,Canada,,776179,,
UAMY,United States Antimony Corporation Common Stock,$0.60,-0.045,-6.977%,63670706.00,United States,,1877099,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.15,-0.04,-3.361%,88857504.00,United States,,2669833,,
UEC,Uranium Energy Corp. Common Stock,$4.68,0.09,1.961%,1324511024.00,Canada,,9429734,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$1.87,-0.03,-1.579%,21940985.00,United States,2015,8092,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.60,0.00,0.00%,347509862.00,Canada,,1189514,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.13,0.05,4.63%,201618395.00,,2017,439490,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.91,0.34,0.984%,2364382525.00,United States,2004,183729,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$4.28,0.03,0.706%,9899156.00,United States,,177492,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$9.35,0.20,2.186%,1465213115.00,,,3220711,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$12.62,-0.03,-0.237%,264473478.00,United States,1993,29409,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$1.06,0.01,0.952%,125059966.00,United States,,257879,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.15,0.05,0.495%,255335938.00,,2021,31122,,
VINE,Fresh Vine Wine Inc. Common Stock,$3.90,0.55,16.418%,47580051.00,,2021,175548,Consumer Non-Durables,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$10.43,-0.03,-0.287%,463003877.00,United States,,60189,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$3.05,0.04,1.329%,163285291.00,Singapore,2015,67521,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$5.97,-0.01,-0.167%,131932499.00,United States,,114583,Technology,Diversified Commercial Services
VZLA,Vizsla Silver Corp. Common Shares,$1.985,-0.025,-1.244%,294352389.00,,2022,164409,,
WBEV,Winc Inc. Common Stock,$3.15,-0.02,-0.631%,41451386.00,,2021,3116,Consumer Non-Durables,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.87,-0.12,-6.03%,49052933.00,,2021,68889,Capital Goods,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$2.36,0.01,0.426%,357365655.00,Canada,2011,309554,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.72,0.00,0.00%,38985647.00,United States,,10221,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$1.92,-0.08,-4.00%,78918572.00,United States,,10117190,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$3.86,0.08,2.116%,33502461.00,United States,,14803,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.812,-0.032,-3.791%,50373556.00,United States,,271692,Basic Industries,Metal Mining
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.70,0.02,2.941%,61119591.00,United States,,19306,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$1.00,-0.04,-3.846%,59347213.00,United States,2017,242386,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$5.55,0.0401,0.728%,,United States,,8990,,
ZDGE,Zedge Inc. Class B Common Stock ,$6.17,0.08,1.314%,88848309.00,,2016,100938,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.3325,-0.0045,-1.335%,325816640.00,United States,2017,7468753,,
